"date","year","doy","hour","tmin","tmax","tmean","climatetype"
2016-01-01,2016,1,"00",0.13,4.27,2.68,"weldhill"
2016-01-01,2016,1,"01",0.13,4.27,2.55,"weldhill"
2016-01-01,2016,1,"02",0.13,4.27,2.34,"weldhill"
2016-01-01,2016,1,"03",0.13,4.27,2.2,"weldhill"
2016-01-01,2016,1,"04",0.13,4.27,2.2,"weldhill"
2016-01-01,2016,1,"05",0.13,4.27,2.17,"weldhill"
2016-01-01,2016,1,"06",0.13,4.27,1.48,"weldhill"
2016-01-01,2016,1,"07",0.13,4.27,1.17,"weldhill"
2016-01-01,2016,1,"08",0.13,4.27,1.98,"weldhill"
2016-01-01,2016,1,"09",0.13,4.27,2.74,"weldhill"
2016-01-01,2016,1,"10",0.13,4.27,3.42,"weldhill"
2016-01-01,2016,1,"11",0.13,4.27,3.92,"weldhill"
2016-01-01,2016,1,"12",0.13,4.27,4.14,"weldhill"
2016-01-01,2016,1,"13",0.13,4.27,4.1,"weldhill"
2016-01-01,2016,1,"14",0.13,4.27,3.83,"weldhill"
2016-01-01,2016,1,"15",0.13,4.27,3.51,"weldhill"
2016-01-01,2016,1,"16",0.13,4.27,3.23,"weldhill"
2016-01-01,2016,1,"17",0.13,4.27,2.89,"weldhill"
2016-01-01,2016,1,"18",0.13,4.27,2.57,"weldhill"
2016-01-01,2016,1,"19",0.13,4.27,2.15,"weldhill"
2016-01-01,2016,1,"20",0.13,4.27,1.68,"weldhill"
2016-01-01,2016,1,"21",0.13,4.27,1.58,"weldhill"
2016-01-01,2016,1,"22",0.13,4.27,0.96,"weldhill"
2016-01-01,2016,1,"23",0.13,4.27,0.34,"weldhill"
2016-01-02,2016,2,"00",-1.67,3.96,-0.15,"weldhill"
2016-01-02,2016,2,"01",-1.67,3.96,-0.3,"weldhill"
2016-01-02,2016,2,"02",-1.67,3.96,-0.9,"weldhill"
2016-01-02,2016,2,"03",-1.67,3.96,-1.47,"weldhill"
2016-01-02,2016,2,"04",-1.67,3.96,-1.59,"weldhill"
2016-01-02,2016,2,"05",-1.67,3.96,-1.28,"weldhill"
2016-01-02,2016,2,"06",-1.67,3.96,-0.84,"weldhill"
2016-01-02,2016,2,"07",-1.67,3.96,-0.82,"weldhill"
2016-01-02,2016,2,"08",-1.67,3.96,-0.7,"weldhill"
2016-01-02,2016,2,"09",-1.67,3.96,0.6,"weldhill"
2016-01-02,2016,2,"10",-1.67,3.96,2.01,"weldhill"
2016-01-02,2016,2,"11",-1.67,3.96,3,"weldhill"
2016-01-02,2016,2,"12",-1.67,3.96,3.24,"weldhill"
2016-01-02,2016,2,"13",-1.67,3.96,3.63,"weldhill"
2016-01-02,2016,2,"14",-1.67,3.96,3.47,"weldhill"
2016-01-02,2016,2,"15",-1.67,3.96,3.06,"weldhill"
2016-01-02,2016,2,"16",-1.67,3.96,2.04,"weldhill"
2016-01-02,2016,2,"17",-1.67,3.96,1.43,"weldhill"
2016-01-02,2016,2,"18",-1.67,3.96,0.49,"weldhill"
2016-01-02,2016,2,"19",-1.67,3.96,0.5,"weldhill"
2016-01-02,2016,2,"20",-1.67,3.96,0.43,"weldhill"
2016-01-02,2016,2,"21",-1.67,3.96,0.32,"weldhill"
2016-01-02,2016,2,"22",-1.67,3.96,0,"weldhill"
2016-01-02,2016,2,"23",-1.67,3.96,0.1,"weldhill"
2016-01-03,2016,3,"00",-1.56,6.18,0.21,"weldhill"
2016-01-03,2016,3,"01",-1.56,6.18,0,"weldhill"
2016-01-03,2016,3,"02",-1.56,6.18,-0.97,"weldhill"
2016-01-03,2016,3,"03",-1.56,6.18,-1.27,"weldhill"
2016-01-03,2016,3,"04",-1.56,6.18,-1.13,"weldhill"
2016-01-03,2016,3,"05",-1.56,6.18,-1.27,"weldhill"
2016-01-03,2016,3,"06",-1.56,6.18,-1.23,"weldhill"
2016-01-03,2016,3,"07",-1.56,6.18,-1.35,"weldhill"
2016-01-03,2016,3,"08",-1.56,6.18,0.21,"weldhill"
2016-01-03,2016,3,"09",-1.56,6.18,2.39,"weldhill"
2016-01-03,2016,3,"10",-1.56,6.18,4.02,"weldhill"
2016-01-03,2016,3,"11",-1.56,6.18,5.24,"weldhill"
2016-01-03,2016,3,"12",-1.56,6.18,5.49,"weldhill"
2016-01-03,2016,3,"13",-1.56,6.18,5.57,"weldhill"
2016-01-03,2016,3,"14",-1.56,6.18,6.02,"weldhill"
2016-01-03,2016,3,"15",-1.56,6.18,5.59,"weldhill"
2016-01-03,2016,3,"16",-1.56,6.18,4.36,"weldhill"
2016-01-03,2016,3,"17",-1.56,6.18,3.58,"weldhill"
2016-01-03,2016,3,"18",-1.56,6.18,1.8,"weldhill"
2016-01-03,2016,3,"19",-1.56,6.18,0.28,"weldhill"
2016-01-03,2016,3,"20",-1.56,6.18,-0.41,"weldhill"
2016-01-03,2016,3,"21",-1.56,6.18,-0.22,"weldhill"
2016-01-03,2016,3,"22",-1.56,6.18,-0.56,"weldhill"
2016-01-03,2016,3,"23",-1.56,6.18,-0.67,"weldhill"
2016-01-04,2016,4,"00",-11.4,-0.79,-2.55,"weldhill"
2016-01-04,2016,4,"01",-11.4,-0.79,-1.96,"weldhill"
2016-01-04,2016,4,"02",-11.4,-0.79,-2.8,"weldhill"
2016-01-04,2016,4,"03",-11.4,-0.79,-3.81,"weldhill"
2016-01-04,2016,4,"04",-11.4,-0.79,-2.81,"weldhill"
2016-01-04,2016,4,"05",-11.4,-0.79,-0.93,"weldhill"
2016-01-04,2016,4,"06",-11.4,-0.79,-1.33,"weldhill"
2016-01-04,2016,4,"07",-11.4,-0.79,-1.91,"weldhill"
2016-01-04,2016,4,"08",-11.4,-0.79,-2.61,"weldhill"
2016-01-04,2016,4,"09",-11.4,-0.79,-2.96,"weldhill"
2016-01-04,2016,4,"10",-11.4,-0.79,-3.39,"weldhill"
2016-01-04,2016,4,"11",-11.4,-0.79,-4.24,"weldhill"
2016-01-04,2016,4,"12",-11.4,-0.79,-4.61,"weldhill"
2016-01-04,2016,4,"13",-11.4,-0.79,-4.99,"weldhill"
2016-01-04,2016,4,"14",-11.4,-0.79,-5.12,"weldhill"
2016-01-04,2016,4,"15",-11.4,-0.79,-5.13,"weldhill"
2016-01-04,2016,4,"16",-11.4,-0.79,-5.53,"weldhill"
2016-01-04,2016,4,"17",-11.4,-0.79,-5.96,"weldhill"
2016-01-04,2016,4,"18",-11.4,-0.79,-6.89,"weldhill"
2016-01-04,2016,4,"19",-11.4,-0.79,-8.12,"weldhill"
2016-01-04,2016,4,"20",-11.4,-0.79,-8.72,"weldhill"
2016-01-04,2016,4,"21",-11.4,-0.79,-9.34,"weldhill"
2016-01-04,2016,4,"22",-11.4,-0.79,-10.27,"weldhill"
2016-01-04,2016,4,"23",-11.4,-0.79,-11.17,"weldhill"
2016-01-05,2016,5,"00",-14.04,-3.36,-11.86,"weldhill"
2016-01-05,2016,5,"01",-14.04,-3.36,-12.54,"weldhill"
2016-01-05,2016,5,"02",-14.04,-3.36,-13.11,"weldhill"
2016-01-05,2016,5,"03",-14.04,-3.36,-13.6,"weldhill"
2016-01-05,2016,5,"04",-14.04,-3.36,-13.85,"weldhill"
2016-01-05,2016,5,"05",-14.04,-3.36,-13.96,"weldhill"
2016-01-05,2016,5,"06",-14.04,-3.36,-14.01,"weldhill"
2016-01-05,2016,5,"07",-14.04,-3.36,-13.77,"weldhill"
2016-01-05,2016,5,"08",-14.04,-3.36,-12.62,"weldhill"
2016-01-05,2016,5,"09",-14.04,-3.36,-10.78,"weldhill"
2016-01-05,2016,5,"10",-14.04,-3.36,-8.71,"weldhill"
2016-01-05,2016,5,"11",-14.04,-3.36,-7.29,"weldhill"
2016-01-05,2016,5,"12",-14.04,-3.36,-6.08,"weldhill"
2016-01-05,2016,5,"13",-14.04,-3.36,-5.04,"weldhill"
2016-01-05,2016,5,"14",-14.04,-3.36,-3.99,"weldhill"
2016-01-05,2016,5,"15",-14.04,-3.36,-3.7,"weldhill"
2016-01-05,2016,5,"16",-14.04,-3.36,-4.76,"weldhill"
2016-01-05,2016,5,"17",-14.04,-3.36,-6.18,"weldhill"
2016-01-05,2016,5,"18",-14.04,-3.36,-7.33,"weldhill"
2016-01-05,2016,5,"19",-14.04,-3.36,-7.06,"weldhill"
2016-01-05,2016,5,"20",-14.04,-3.36,-6.95,"weldhill"
2016-01-05,2016,5,"21",-14.04,-3.36,-7.09,"weldhill"
2016-01-05,2016,5,"22",-14.04,-3.36,-7.95,"weldhill"
2016-01-05,2016,5,"23",-14.04,-3.36,-7.64,"weldhill"
2016-01-06,2016,6,"00",-9.51,7.04,-7.63,"weldhill"
2016-01-06,2016,6,"01",-9.51,7.04,-7.98,"weldhill"
2016-01-06,2016,6,"02",-9.51,7.04,-8.05,"weldhill"
2016-01-06,2016,6,"03",-9.51,7.04,-8.22,"weldhill"
2016-01-06,2016,6,"04",-9.51,7.04,-8.09,"weldhill"
2016-01-06,2016,6,"05",-9.51,7.04,-8.31,"weldhill"
2016-01-06,2016,6,"06",-9.51,7.04,-8.75,"weldhill"
2016-01-06,2016,6,"07",-9.51,7.04,-8.76,"weldhill"
2016-01-06,2016,6,"08",-9.51,7.04,-5.69,"weldhill"
2016-01-06,2016,6,"09",-9.51,7.04,-2.4,"weldhill"
2016-01-06,2016,6,"10",-9.51,7.04,1.08,"weldhill"
2016-01-06,2016,6,"11",-9.51,7.04,3.57,"weldhill"
2016-01-06,2016,6,"12",-9.51,7.04,5.34,"weldhill"
2016-01-06,2016,6,"13",-9.51,7.04,6.44,"weldhill"
2016-01-06,2016,6,"14",-9.51,7.04,6.71,"weldhill"
2016-01-06,2016,6,"15",-9.51,7.04,6.11,"weldhill"
2016-01-06,2016,6,"16",-9.51,7.04,4.12,"weldhill"
2016-01-06,2016,6,"17",-9.51,7.04,2.64,"weldhill"
2016-01-06,2016,6,"18",-9.51,7.04,1.93,"weldhill"
2016-01-06,2016,6,"19",-9.51,7.04,1.03,"weldhill"
2016-01-06,2016,6,"20",-9.51,7.04,0.45,"weldhill"
2016-01-06,2016,6,"21",-9.51,7.04,-0.19,"weldhill"
2016-01-06,2016,6,"22",-9.51,7.04,-0.79,"weldhill"
2016-01-06,2016,6,"23",-9.51,7.04,-1.4,"weldhill"
2016-01-07,2016,7,"00",-5.73,7.29,-1.73,"weldhill"
2016-01-07,2016,7,"01",-5.73,7.29,-2.67,"weldhill"
2016-01-07,2016,7,"02",-5.73,7.29,-3.54,"weldhill"
2016-01-07,2016,7,"03",-5.73,7.29,-4.11,"weldhill"
2016-01-07,2016,7,"04",-5.73,7.29,-3.96,"weldhill"
2016-01-07,2016,7,"05",-5.73,7.29,-4.05,"weldhill"
2016-01-07,2016,7,"06",-5.73,7.29,-5.31,"weldhill"
2016-01-07,2016,7,"07",-5.73,7.29,-4.73,"weldhill"
2016-01-07,2016,7,"08",-5.73,7.29,-2.41,"weldhill"
2016-01-07,2016,7,"09",-5.73,7.29,0.92,"weldhill"
2016-01-07,2016,7,"10",-5.73,7.29,3.82,"weldhill"
2016-01-07,2016,7,"11",-5.73,7.29,5.46,"weldhill"
2016-01-07,2016,7,"12",-5.73,7.29,6.19,"weldhill"
2016-01-07,2016,7,"13",-5.73,7.29,6.65,"weldhill"
2016-01-07,2016,7,"14",-5.73,7.29,4.17,"weldhill"
2016-01-07,2016,7,"15",-5.73,7.29,3.37,"weldhill"
2016-01-07,2016,7,"16",-5.73,7.29,1.9,"weldhill"
2016-01-07,2016,7,"17",-5.73,7.29,-1.44,"weldhill"
2016-01-07,2016,7,"18",-5.73,7.29,-2.49,"weldhill"
2016-01-07,2016,7,"19",-5.73,7.29,-2.66,"weldhill"
2016-01-07,2016,7,"20",-5.73,7.29,-2.12,"weldhill"
2016-01-07,2016,7,"21",-5.73,7.29,-1.22,"weldhill"
2016-01-07,2016,7,"22",-5.73,7.29,-0.97,"weldhill"
2016-01-07,2016,7,"23",-5.73,7.29,-1.3,"weldhill"
2016-01-08,2016,8,"00",-1.47,4.79,-0.52,"weldhill"
2016-01-08,2016,8,"01",-1.47,4.79,-0.71,"weldhill"
2016-01-08,2016,8,"02",-1.47,4.79,-0.31,"weldhill"
2016-01-08,2016,8,"03",-1.47,4.79,-0.67,"weldhill"
2016-01-08,2016,8,"04",-1.47,4.79,-1.13,"weldhill"
2016-01-08,2016,8,"05",-1.47,4.79,-1.22,"weldhill"
2016-01-08,2016,8,"06",-1.47,4.79,-1.41,"weldhill"
2016-01-08,2016,8,"07",-1.47,4.79,-1.18,"weldhill"
2016-01-08,2016,8,"08",-1.47,4.79,-0.17,"weldhill"
2016-01-08,2016,8,"09",-1.47,4.79,0.52,"weldhill"
2016-01-08,2016,8,"10",-1.47,4.79,1.57,"weldhill"
2016-01-08,2016,8,"11",-1.47,4.79,2.57,"weldhill"
2016-01-08,2016,8,"12",-1.47,4.79,2.97,"weldhill"
2016-01-08,2016,8,"13",-1.47,4.79,3.22,"weldhill"
2016-01-08,2016,8,"14",-1.47,4.79,4.45,"weldhill"
2016-01-08,2016,8,"15",-1.47,4.79,4.51,"weldhill"
2016-01-08,2016,8,"16",-1.47,4.79,4.35,"weldhill"
2016-01-08,2016,8,"17",-1.47,4.79,4.3,"weldhill"
2016-01-08,2016,8,"18",-1.47,4.79,4.32,"weldhill"
2016-01-08,2016,8,"19",-1.47,4.79,4.38,"weldhill"
2016-01-08,2016,8,"20",-1.47,4.79,4.45,"weldhill"
2016-01-08,2016,8,"21",-1.47,4.79,4.52,"weldhill"
2016-01-08,2016,8,"22",-1.47,4.79,4.49,"weldhill"
2016-01-08,2016,8,"23",-1.47,4.79,4.41,"weldhill"
2016-01-09,2016,9,"00",2.91,4.58,4.18,"weldhill"
2016-01-09,2016,9,"01",2.91,4.58,4.1,"weldhill"
2016-01-09,2016,9,"02",2.91,4.58,4.11,"weldhill"
2016-01-09,2016,9,"03",2.91,4.58,3.98,"weldhill"
2016-01-09,2016,9,"04",2.91,4.58,3.96,"weldhill"
2016-01-09,2016,9,"05",2.91,4.58,3.98,"weldhill"
2016-01-09,2016,9,"06",2.91,4.58,4.02,"weldhill"
2016-01-09,2016,9,"07",2.91,4.58,3.93,"weldhill"
2016-01-09,2016,9,"08",2.91,4.58,3.92,"weldhill"
2016-01-09,2016,9,"09",2.91,4.58,3.85,"weldhill"
2016-01-09,2016,9,"10",2.91,4.58,3.08,"weldhill"
2016-01-09,2016,9,"11",2.91,4.58,3.49,"weldhill"
2016-01-09,2016,9,"12",2.91,4.58,3.63,"weldhill"
2016-01-09,2016,9,"13",2.91,4.58,3.86,"weldhill"
2016-01-09,2016,9,"14",2.91,4.58,4.17,"weldhill"
2016-01-09,2016,9,"15",2.91,4.58,4.51,"weldhill"
2016-01-09,2016,9,"16",2.91,4.58,4.27,"weldhill"
2016-01-09,2016,9,"17",2.91,4.58,4.15,"weldhill"
2016-01-09,2016,9,"18",2.91,4.58,3.81,"weldhill"
2016-01-09,2016,9,"19",2.91,4.58,3.72,"weldhill"
2016-01-09,2016,9,"20",2.91,4.58,3.44,"weldhill"
2016-01-09,2016,9,"21",2.91,4.58,3.2,"weldhill"
2016-01-09,2016,9,"22",2.91,4.58,3.13,"weldhill"
2016-01-09,2016,9,"23",2.91,4.58,3.22,"weldhill"
2016-01-10,2016,10,"00",3.17,15.2,3.29,"weldhill"
2016-01-10,2016,10,"01",3.17,15.2,3.3,"weldhill"
2016-01-10,2016,10,"02",3.17,15.2,3.66,"weldhill"
2016-01-10,2016,10,"03",3.17,15.2,5.51,"weldhill"
2016-01-10,2016,10,"04",3.17,15.2,6.21,"weldhill"
2016-01-10,2016,10,"05",3.17,15.2,6.62,"weldhill"
2016-01-10,2016,10,"06",3.17,15.2,6.88,"weldhill"
2016-01-10,2016,10,"07",3.17,15.2,7.15,"weldhill"
2016-01-10,2016,10,"08",3.17,15.2,8.1,"weldhill"
2016-01-10,2016,10,"09",3.17,15.2,9.29,"weldhill"
2016-01-10,2016,10,"10",3.17,15.2,9.77,"weldhill"
2016-01-10,2016,10,"11",3.17,15.2,10.34,"weldhill"
2016-01-10,2016,10,"12",3.17,15.2,11.41,"weldhill"
2016-01-10,2016,10,"13",3.17,15.2,12.79,"weldhill"
2016-01-10,2016,10,"14",3.17,15.2,13.52,"weldhill"
2016-01-10,2016,10,"15",3.17,15.2,13.7,"weldhill"
2016-01-10,2016,10,"16",3.17,15.2,14.77,"weldhill"
2016-01-10,2016,10,"17",3.17,15.2,15.03,"weldhill"
2016-01-10,2016,10,"18",3.17,15.2,15.1,"weldhill"
2016-01-10,2016,10,"19",3.17,15.2,14.53,"weldhill"
2016-01-10,2016,10,"20",3.17,15.2,13.3,"weldhill"
2016-01-10,2016,10,"21",3.17,15.2,12.59,"weldhill"
2016-01-10,2016,10,"22",3.17,15.2,11.8,"weldhill"
2016-01-10,2016,10,"23",3.17,15.2,10.7,"weldhill"
2016-01-11,2016,11,"00",-4.59,10.29,9.78,"weldhill"
2016-01-11,2016,11,"01",-4.59,10.29,7.15,"weldhill"
2016-01-11,2016,11,"02",-4.59,10.29,4.47,"weldhill"
2016-01-11,2016,11,"03",-4.59,10.29,3.58,"weldhill"
2016-01-11,2016,11,"04",-4.59,10.29,2.96,"weldhill"
2016-01-11,2016,11,"05",-4.59,10.29,1.69,"weldhill"
2016-01-11,2016,11,"06",-4.59,10.29,0.58,"weldhill"
2016-01-11,2016,11,"07",-4.59,10.29,-0.58,"weldhill"
2016-01-11,2016,11,"08",-4.59,10.29,-0.42,"weldhill"
2016-01-11,2016,11,"09",-4.59,10.29,0.1,"weldhill"
2016-01-11,2016,11,"10",-4.59,10.29,0.6,"weldhill"
2016-01-11,2016,11,"11",-4.59,10.29,0.58,"weldhill"
2016-01-11,2016,11,"12",-4.59,10.29,0.29,"weldhill"
2016-01-11,2016,11,"13",-4.59,10.29,0.21,"weldhill"
2016-01-11,2016,11,"14",-4.59,10.29,0.39,"weldhill"
2016-01-11,2016,11,"15",-4.59,10.29,0.1,"weldhill"
2016-01-11,2016,11,"16",-4.59,10.29,-1.13,"weldhill"
2016-01-11,2016,11,"17",-4.59,10.29,-1.54,"weldhill"
2016-01-11,2016,11,"18",-4.59,10.29,-2.03,"weldhill"
2016-01-11,2016,11,"19",-4.59,10.29,-2.49,"weldhill"
2016-01-11,2016,11,"20",-4.59,10.29,-2.86,"weldhill"
2016-01-11,2016,11,"21",-4.59,10.29,-3.29,"weldhill"
2016-01-11,2016,11,"22",-4.59,10.29,-3.74,"weldhill"
2016-01-11,2016,11,"23",-4.59,10.29,-4.31,"weldhill"
2016-01-12,2016,12,"00",-8.66,2.88,-4.97,"weldhill"
2016-01-12,2016,12,"01",-8.66,2.88,-6.09,"weldhill"
2016-01-12,2016,12,"02",-8.66,2.88,-6.52,"weldhill"
2016-01-12,2016,12,"03",-8.66,2.88,-6.47,"weldhill"
2016-01-12,2016,12,"04",-8.66,2.88,-7.65,"weldhill"
2016-01-12,2016,12,"05",-8.66,2.88,-8.34,"weldhill"
2016-01-12,2016,12,"06",-8.66,2.88,-8.53,"weldhill"
2016-01-12,2016,12,"07",-8.66,2.88,-7.7,"weldhill"
2016-01-12,2016,12,"08",-8.66,2.88,-4.23,"weldhill"
2016-01-12,2016,12,"09",-8.66,2.88,-2.77,"weldhill"
2016-01-12,2016,12,"10",-8.66,2.88,-1.07,"weldhill"
2016-01-12,2016,12,"11",-8.66,2.88,0.2,"weldhill"
2016-01-12,2016,12,"12",-8.66,2.88,1.69,"weldhill"
2016-01-12,2016,12,"13",-8.66,2.88,2.37,"weldhill"
2016-01-12,2016,12,"14",-8.66,2.88,2.52,"weldhill"
2016-01-12,2016,12,"15",-8.66,2.88,2.48,"weldhill"
2016-01-12,2016,12,"16",-8.66,2.88,2.24,"weldhill"
2016-01-12,2016,12,"17",-8.66,2.88,2.14,"weldhill"
2016-01-12,2016,12,"18",-8.66,2.88,1.28,"weldhill"
2016-01-12,2016,12,"19",-8.66,2.88,0.22,"weldhill"
2016-01-12,2016,12,"20",-8.66,2.88,0.23,"weldhill"
2016-01-12,2016,12,"21",-8.66,2.88,0.4,"weldhill"
2016-01-12,2016,12,"22",-8.66,2.88,0.29,"weldhill"
2016-01-12,2016,12,"23",-8.66,2.88,-0.34,"weldhill"
2016-01-13,2016,13,"00",-7.28,-1.16,-1.3,"weldhill"
2016-01-13,2016,13,"01",-7.28,-1.16,-1.39,"weldhill"
2016-01-13,2016,13,"02",-7.28,-1.16,-3.18,"weldhill"
2016-01-13,2016,13,"03",-7.28,-1.16,-3.94,"weldhill"
2016-01-13,2016,13,"04",-7.28,-1.16,-4.58,"weldhill"
2016-01-13,2016,13,"05",-7.28,-1.16,-5.09,"weldhill"
2016-01-13,2016,13,"06",-7.28,-1.16,-5.03,"weldhill"
2016-01-13,2016,13,"07",-7.28,-1.16,-4.58,"weldhill"
2016-01-13,2016,13,"08",-7.28,-1.16,-3.93,"weldhill"
2016-01-13,2016,13,"09",-7.28,-1.16,-3.26,"weldhill"
2016-01-13,2016,13,"10",-7.28,-1.16,-2.63,"weldhill"
2016-01-13,2016,13,"11",-7.28,-1.16,-2.26,"weldhill"
2016-01-13,2016,13,"12",-7.28,-1.16,-2.12,"weldhill"
2016-01-13,2016,13,"13",-7.28,-1.16,-2.17,"weldhill"
2016-01-13,2016,13,"14",-7.28,-1.16,-2.29,"weldhill"
2016-01-13,2016,13,"15",-7.28,-1.16,-2.79,"weldhill"
2016-01-13,2016,13,"16",-7.28,-1.16,-3.96,"weldhill"
2016-01-13,2016,13,"17",-7.28,-1.16,-4.64,"weldhill"
2016-01-13,2016,13,"18",-7.28,-1.16,-5.17,"weldhill"
2016-01-13,2016,13,"19",-7.28,-1.16,-5.53,"weldhill"
2016-01-13,2016,13,"20",-7.28,-1.16,-5.94,"weldhill"
2016-01-13,2016,13,"21",-7.28,-1.16,-6.69,"weldhill"
2016-01-13,2016,13,"22",-7.28,-1.16,-7.19,"weldhill"
2016-01-13,2016,13,"23",-7.28,-1.16,-6.83,"weldhill"
2016-01-14,2016,14,"00",-7.32,-1.38,-6.75,"weldhill"
2016-01-14,2016,14,"01",-7.32,-1.38,-6.87,"weldhill"
2016-01-14,2016,14,"02",-7.32,-1.38,-7.06,"weldhill"
2016-01-14,2016,14,"03",-7.32,-1.38,-6.96,"weldhill"
2016-01-14,2016,14,"04",-7.32,-1.38,-6.62,"weldhill"
2016-01-14,2016,14,"05",-7.32,-1.38,-6.51,"weldhill"
2016-01-14,2016,14,"06",-7.32,-1.38,-6.56,"weldhill"
2016-01-14,2016,14,"07",-7.32,-1.38,-6.85,"weldhill"
2016-01-14,2016,14,"08",-7.32,-1.38,-7.12,"weldhill"
2016-01-14,2016,14,"09",-7.32,-1.38,-6.36,"weldhill"
2016-01-14,2016,14,"10",-7.32,-1.38,-4.94,"weldhill"
2016-01-14,2016,14,"11",-7.32,-1.38,-3.39,"weldhill"
2016-01-14,2016,14,"12",-7.32,-1.38,-3.02,"weldhill"
2016-01-14,2016,14,"13",-7.32,-1.38,-2.55,"weldhill"
2016-01-14,2016,14,"14",-7.32,-1.38,-1.57,"weldhill"
2016-01-14,2016,14,"15",-7.32,-1.38,-1.68,"weldhill"
2016-01-14,2016,14,"16",-7.32,-1.38,-2.51,"weldhill"
2016-01-14,2016,14,"17",-7.32,-1.38,-2.9,"weldhill"
2016-01-14,2016,14,"18",-7.32,-1.38,-3.24,"weldhill"
2016-01-14,2016,14,"19",-7.32,-1.38,-3.76,"weldhill"
2016-01-14,2016,14,"20",-7.32,-1.38,-4.12,"weldhill"
2016-01-14,2016,14,"21",-7.32,-1.38,-5.04,"weldhill"
2016-01-14,2016,14,"22",-7.32,-1.38,-4.68,"weldhill"
2016-01-14,2016,14,"23",-7.32,-1.38,-5.62,"weldhill"
2016-01-15,2016,15,"00",-5.7,5.33,-5.44,"weldhill"
2016-01-15,2016,15,"01",-5.7,5.33,-4.53,"weldhill"
2016-01-15,2016,15,"02",-5.7,5.33,-3.69,"weldhill"
2016-01-15,2016,15,"03",-5.7,5.33,-3.41,"weldhill"
2016-01-15,2016,15,"04",-5.7,5.33,-3.6,"weldhill"
2016-01-15,2016,15,"05",-5.7,5.33,-3.88,"weldhill"
2016-01-15,2016,15,"06",-5.7,5.33,-4.74,"weldhill"
2016-01-15,2016,15,"07",-5.7,5.33,-3.16,"weldhill"
2016-01-15,2016,15,"08",-5.7,5.33,-1.97,"weldhill"
2016-01-15,2016,15,"09",-5.7,5.33,-1.06,"weldhill"
2016-01-15,2016,15,"10",-5.7,5.33,0.3,"weldhill"
2016-01-15,2016,15,"11",-5.7,5.33,2.24,"weldhill"
2016-01-15,2016,15,"12",-5.7,5.33,2.94,"weldhill"
2016-01-15,2016,15,"13",-5.7,5.33,3.06,"weldhill"
2016-01-15,2016,15,"14",-5.7,5.33,3.14,"weldhill"
2016-01-15,2016,15,"15",-5.7,5.33,3.09,"weldhill"
2016-01-15,2016,15,"16",-5.7,5.33,2.66,"weldhill"
2016-01-15,2016,15,"17",-5.7,5.33,2.66,"weldhill"
2016-01-15,2016,15,"18",-5.7,5.33,3.15,"weldhill"
2016-01-15,2016,15,"19",-5.7,5.33,3.64,"weldhill"
2016-01-15,2016,15,"20",-5.7,5.33,3.93,"weldhill"
2016-01-15,2016,15,"21",-5.7,5.33,4.28,"weldhill"
2016-01-15,2016,15,"22",-5.7,5.33,4.77,"weldhill"
2016-01-15,2016,15,"23",-5.7,5.33,5.2,"weldhill"
2016-01-16,2016,16,"00",-0.01,5.59,5.41,"weldhill"
2016-01-16,2016,16,"01",-0.01,5.59,5.51,"weldhill"
2016-01-16,2016,16,"02",-0.01,5.59,4.04,"weldhill"
2016-01-16,2016,16,"03",-0.01,5.59,4.2,"weldhill"
2016-01-16,2016,16,"04",-0.01,5.59,3.51,"weldhill"
2016-01-16,2016,16,"05",-0.01,5.59,2.69,"weldhill"
2016-01-16,2016,16,"06",-0.01,5.59,2.26,"weldhill"
2016-01-16,2016,16,"07",-0.01,5.59,2.1,"weldhill"
2016-01-16,2016,16,"08",-0.01,5.59,2.43,"weldhill"
2016-01-16,2016,16,"09",-0.01,5.59,2.86,"weldhill"
2016-01-16,2016,16,"10",-0.01,5.59,2.59,"weldhill"
2016-01-16,2016,16,"11",-0.01,5.59,1.1,"weldhill"
2016-01-16,2016,16,"12",-0.01,5.59,2.22,"weldhill"
2016-01-16,2016,16,"13",-0.01,5.59,2.88,"weldhill"
2016-01-16,2016,16,"14",-0.01,5.59,2.51,"weldhill"
2016-01-16,2016,16,"15",-0.01,5.59,2.99,"weldhill"
2016-01-16,2016,16,"16",-0.01,5.59,2.27,"weldhill"
2016-01-16,2016,16,"17",-0.01,5.59,0.72,"weldhill"
2016-01-16,2016,16,"18",-0.01,5.59,0.42,"weldhill"
2016-01-16,2016,16,"19",-0.01,5.59,1.49,"weldhill"
2016-01-16,2016,16,"20",-0.01,5.59,2.95,"weldhill"
2016-01-16,2016,16,"21",-0.01,5.59,2.82,"weldhill"
2016-01-16,2016,16,"22",-0.01,5.59,2.4,"weldhill"
2016-01-16,2016,16,"23",-0.01,5.59,2.4,"weldhill"
2016-01-17,2016,17,"00",-2.42,2.21,1.79,"weldhill"
2016-01-17,2016,17,"01",-2.42,2.21,-0.19,"weldhill"
2016-01-17,2016,17,"02",-2.42,2.21,0.88,"weldhill"
2016-01-17,2016,17,"03",-2.42,2.21,0.74,"weldhill"
2016-01-17,2016,17,"04",-2.42,2.21,0.1,"weldhill"
2016-01-17,2016,17,"05",-2.42,2.21,-0.72,"weldhill"
2016-01-17,2016,17,"06",-2.42,2.21,-0.87,"weldhill"
2016-01-17,2016,17,"07",-2.42,2.21,-0.76,"weldhill"
2016-01-17,2016,17,"08",-2.42,2.21,0.45,"weldhill"
